"STATENAME","YEAR","White","Black","Latine","Asian"
"Utah",2014,0.792143944990353,0.0106310030031581,0.134846488262266,0.0301647829251535
"Vermont",2014,0.931278947654023,0.0100500828329838,0.0157558230470408,0.0206460015130187
"Virginia",2014,0.629796779813912,0.189371879837464,0.0879665598924082,0.0614515061872102
"Washington",2014,0.702433891805317,0.0336014999582244,0.121565723009036,0.0837397844376502
"West Virginia",2014,0.925767135088628,0.0376366110620507,0.0124432127095442,0.00629780914282132
"Wisconsin",2014,0.821611709396543,0.0606311974994981,0.0642090995427927,0.0265612331882025
"Wyoming",2014,0.840195976054219,0.0116424977702759,0.0979657726657228,0.0113155286371892
"Alabama",2015,0.659729338200474,0.26709211955845,0.0395029490763389,0.0118508435619911
"Alaska",2015,0.614579270670827,0.0344595033801352,0.070038947391229,0.0715610916103311
"Arizona",2015,0.556953690393984,0.0408713156655656,0.307336119383749,0.032254086626299
"Arkansas",2015,0.729773044425432,0.157368669171084,0.0697030827975518,0.0153854470680988
"California",2015,0.378455968297004,0.0558082553864473,0.387916096582695,0.142958156045073
"Colorado",2015,0.684991718246651,0.0397848540127926,0.213603994007962,0.0313707832057258
"Connecticut",2015,0.679145481087397,0.100088111958998,0.154380005380288,0.0430138968488557
"Delaware",2015,0.629007943471743,0.212729429325936,0.0900189653823628,0.039160237394998
"District of Columbia",2015,0.360630619373189,0.465712526107214,0.10629280541721,0.0382325639515165
"Florida",2015,0.551191360857868,0.155372489698722,0.244775216868483,0.0266453432226651
"Georgia",2015,0.536837900862077,0.30951241622499,0.0930478733922932,0.0378736468243324
"Hawaii",2015,0.227979404904851,0.0189256379038043,0.103699838572565,0.433720102570335
"Idaho",2015,0.826005933785719,0.00564193047440073,0.120797858519696,0.0123836053488667
"Illinois",2015,0.618050318059999,0.141190723635585,0.168828448222569,0.0518944214208481
"Indiana",2015,0.79897170255964,0.0913100029004423,0.0660920165325212,0.0212103908346023
"Iowa",2015,0.868222692218923,0.0326415802815648,0.0557213917607451,0.0220019917417304
"Kansas",2015,0.763484577940756,0.058071719693465,0.115563354136035,0.0290489109062553
"Kentucky",2015,0.851595627842314,0.0800589004703179,0.0328072275107501,0.0140851308854144
"Louisiana",2015,0.590211496119231,0.322001043093105,0.0486836730237111,0.0168871035839412
"Maine",2015,0.934780580864918,0.0110973363985412,0.0155544756448371,0.0109243166472082
"Maryland",2015,0.518683983969768,0.289128048560194,0.0953193101825869,0.0633142875409084
"Massachusetts",2015,0.72941819039206,0.0671377197353947,0.111423606010931,0.0635319678406787
"Michigan",2015,0.754416796606043,0.138597477106751,0.0491137583627477,0.0291200591459315
"Minnesota",2015,0.80936878027774,0.0572149780111243,0.0508738897630681,0.0477501614873523
"Mississippi",2015,0.569779499808344,0.377927189253335,0.0286147965483788,0.0104343333445843
"Missouri",2015,0.798793721949507,0.115738981325752,0.0391326159595718,0.0196355096066981
"Montana",2015,0.864969132067508,0.00490440476732152,0.0359969369252499,0.00691515263580293
"Nebraska",2015,0.801225088203186,0.049048354858954,0.103607760825656,0.0209599249020404
"Nevada",2015,0.504959276612893,0.0825872711957922,0.281216045827431,0.0844427840302749
"New Hampshire",2015,0.909415094453062,0.0127280160648365,0.0333088332551736,0.025231322823852
"New Jersey",2015,0.560387331431647,0.126343420131228,0.196805251343127,0.0940889458410029
"New Mexico",2015,0.382394877198266,0.0183496402346352,0.480746570083387,0.0146001959609785
"New York",2015,0.558820963506838,0.143577187696112,0.188024666455612,0.0844245122612176
"North Carolina",2015,0.636119780117143,0.214518816561354,0.0908719498801231,0.026558026335678
"North Dakota",2015,0.859748879682083,0.0168021264902342,0.0341855500126828,0.0127991037456667
"Ohio",2015,0.796990430814412,0.121052681883713,0.035136669007923,0.0203158879169389
"Oklahoma",2015,0.663638887766795,0.0718968803002962,0.101322616455034,0.0208202410530616
"Oregon",2015,0.765175874669922,0.017693821533357,0.126949098989644,0.0435924553552924
"Pennsylvania",2015,0.772487692445766,0.104845825851398,0.0677285527681579,0.0331532826041908
"Rhode Island",2015,0.733003375941259,0.0533059799412666,0.144471541174934,0.0337916004763807
"South Carolina",2015,0.637323315113561,0.2718766964874,0.0534256944135244,0.0150410138913341
"South Dakota",2015,0.826076422095614,0.0144000540497094,0.0347455761361214,0.0127377925120185
"Tennessee",2015,0.742358187106372,0.167618921506435,0.0506163432899025,0.0160127594219595
"Texas",2015,0.429581638490415,0.117399163292999,0.388408595923407,0.0454324810039377
"Utah",2015,0.789290698446787,0.0111151202686054,0.136595148266692,0.0299630931276847
"Vermont",2015,0.931737806728622,0.01373230550027,0.0170483769459557,0.0154973627967453
"Virginia",2015,0.625198541857306,0.188709330903652,0.0899103697211724,0.0629419587968164
"Washington",2015,0.697075917204053,0.0354614439376817,0.123637043709576,0.0840961620986197
"West Virginia",2015,0.923228756355307,0.0376400119731385,0.0145765369865866,0.00814693990872651
"Wisconsin",2015,0.81830241415464,0.0619993252863245,0.0659375808413198,0.0263826215658521
"Wyoming",2015,0.840331202323125,0.00819816176909677,0.0986185116369537,0.0102848114764028
"Alabama",2016,0.657184627721917,0.267721711595008,0.0409172783912158,0.0124767133427919
"Alaska",2016,0.612543031753862,0.0287696085963763,0.0690718620180241,0.0709993610947116
"Arizona",2016,0.553439720932018,0.0412234992254444,0.309570483407254,0.0327758870165953
"Arkansas",2016,0.727610626694973,0.156459570959305,0.0719291036085358,0.0160572348747494
"California",2016,0.375245238747285,0.0551022436499836,0.389315219914427,0.143426358261195
"Colorado",2016,0.685496462893091,0.039924592255816,0.21308246751899,0.0321580277752459
"Connecticut",2016,0.67428445845212,0.10021188596967,0.156766818064383,0.045027026785205
"Delaware",2016,0.626722965343753,0.210731410145316,0.0912826330135022,0.0404331637020582
"District of Columbia",2016,0.363722712391914,0.464412701675059,0.109043263796116,0.0384030418250951
"Florida",2016,0.546644383034924,0.153625682045681,0.248774490005768,0.0269723539266751
"Georgia",2016,0.531822278752142,0.310898026850828,0.093339027276516,0.0386929820469118
"Hawaii",2016,0.221261034736451,0.0159412610067362,0.104095251362039,0.452432769570973
"Idaho",2016,0.824366956997041,0.00542438537495396,0.122654087004052,0.0156659576743468
"Illinois",2016,0.616269809434631,0.140314848081938,0.170145870742572,0.0527433459367659
"Indiana",2016,0.79540160466078,0.0913755701936951,0.0675651166966403,0.0218923322337391
"Iowa",2016,0.864638100126552,0.0334935510431165,0.05712393526256,0.0252949810396106
"Kansas",2016,0.76269335453063,0.0581858219117535,0.116082714859101,0.0269285234457256
"Kentucky",2016,0.848687641622421,0.0822662021458769,0.0342330155642111,0.0142820309517252
"Louisiana",2016,0.588635754878712,0.322563378079513,0.0492613099695707,0.0166387350144158
"Maine",2016,0.933983938161999,0.0158447861363191,0.0150539362618562,0.012326142582797
"Maryland",2016,0.513877210253826,0.293902530845863,0.0974922574735554,0.0623259874141665
"Massachusetts",2016,0.723670760736566,0.0677815318373695,0.114642422765505,0.0645179711636353
"Michigan",2016,0.752764723064372,0.136612108820241,0.0495493689755547,0.0295383902581509
"Minnesota",2016,0.805195769818288,0.0577673501508709,0.0514142151960742,0.048565096218228
"Mississippi",2016,0.567973444203316,0.378857412824059,0.0291528898935533,0.00915875192306019
"Missouri",2016,0.796232069588052,0.114713277531594,0.0400187099950763,0.0204209748892171
"Montana",2016,0.864700917008786,0.00264263515328243,0.035199324713195,0.00877393239458236
"Nebraska",2016,0.797554527359636,0.045286180809138,0.105906510144113,0.0236776368086682
"Nevada",2016,0.497873511338892,0.0852098836145409,0.284667853491326,0.0875057566891538
"New Hampshire",2016,0.906256064146779,0.0119413586236194,0.0355633409730656,0.0257580604919948
"New Jersey",2016,0.55559743121699,0.127052036291925,0.199778656508285,0.0949699752998194
"New Mexico",2016,0.378920382601759,0.0181483554899893,0.485489052217307,0.0154722575281774
"New York",2016,0.554995725815915,0.143915037151393,0.189876076263052,0.0841931966657971
"North Carolina",2016,0.634691490548536,0.212170984551959,0.0917102042537993,0.0277066989080682
"North Dakota",2016,0.850972289838552,0.0259013421676542,0.0321523893961763,0.00909159275047397
"Ohio",2016,0.793550629035248,0.123010256343584,0.0358470491691631,0.0201324686231448
"Oklahoma",2016,0.661294675933419,0.0704836754162864,0.103181777981787,0.0206274351284458
"Oregon",2016,0.761489593779353,0.0179495854978606,0.127646871293635,0.045259456230846
"Pennsylvania",2016,0.768847502473165,0.106024322002418,0.0702687772987761,0.0330954699099132
"Rhode Island",2016,0.727348626406393,0.0567782315088799,0.149512601923845,0.035568984481639
"South Carolina",2016,0.637206444755709,0.268567635648329,0.0550700356109176,0.0157841406344012
"South Dakota",2016,0.824557977662591,0.0150510599061302,0.0372625234847837,0.0148777404691642
"Tennessee",2016,0.74167976456558,0.166368474592682,0.0520360705160607,0.0182329668928616
"Texas",2016,0.425003362931437,0.117494543580936,0.39068531159121,0.046452132457435
"Utah",2016,0.786736243276044,0.0100281297593714,0.137857779371313,0.0327285801042666
"Vermont",2016,0.931166485749143,0.00901225436043254,0.0195134759539797,0.0123616301149227
"Virginia",2016,0.622432299928862,0.187290294785616,0.0903607167448425,0.0633834010476701
"Washington",2016,0.693706092206367,0.0351088090010977,0.12423682766191,0.0861970362239298
"West Virginia",2016,0.919966227987299,0.0380940002250011,0.0142832021372922,0.0079078063373859
"Wisconsin",2016,0.816433220638035,0.0612842764707481,0.0671525422027654,0.027439865893922
"Wyoming",2016,0.842787629739317,0.00775233517961541,0.0971390313594682,0.00999998292060987
"Alabama",2017,0.654429245251087,0.269248024564147,0.0414046103315721,0.0136558881927616
"Alaska",2017,0.606269304334309,0.0266871227840145,0.0703789563324975,0.0687501267242952
"Arizona",2017,0.547069454282689,0.0411685981297755,0.31400487723534,0.0339612073081566
"Arkansas",2017,0.723200475055745,0.152035147201708,0.0744451497347617,0.0187835417416292
"California",2017,0.36963321098526,0.0547017472622177,0.39144426312465,0.14598011116419
"Colorado",2017,0.681640097632417,0.038658649289818,0.215165126550831,0.0323260249317212
"Connecticut",2017,0.667575575834461,0.0982176499309957,0.161372159287261,0.0440258916488118
"Delaware",2017,0.620553902066555,0.21729444382648,0.0935745405893721,0.039958874731142
"District of Columbia",2017,0.365197731320572,0.453061506804309,0.110648556425908,0.0413301977601402
"Florida",2017,0.53820009149654,0.153282771963935,0.255891995958903,0.0280395436610053
"Georgia",2017,0.526002842547001,0.312054629523004,0.096017605650346,0.0398930751294013
"Hawaii",2017,0.217546573191046,0.0143414746227421,0.105466894751663,0.450130924710936
"Idaho",2017,0.819049904394031,0.00593030752913754,0.124805541010971,0.0143435163543577
"Illinois",2017,0.612117163045247,0.139467723187187,0.172371194771326,0.0541149629242191
"Indiana",2017,0.792085819651894,0.0918154657889266,0.0691916293500138,0.0218177547369675
"Iowa",2017,0.858246037223381,0.0316573900145309,0.0592912063441302,0.0278410826677975
"Kansas",2017,0.758342507336628,0.0553708168175528,0.11895824515477,0.0303759916762869
"Kentucky",2017,0.845914261833074,0.0808600622919234,0.0349890855551931,0.0149259494826106
